# 2023-05-29 1550 SPDC measurment
# both crystals are (again) oriented in the same direction
# temperature scan betwen 24 and 90 C 
# this measurement now includes the coincidence stage where we seperate single photons based on polarization per channel 
# this should now provide a nice temperature scan without any q beating interference. just an nice PM peak (at least in coincidences) 
# --------------------------------- 
# input laser power: 30 mW at 1550 nm (245 mA) 
# pump polarization: H# periodic pooling: 9.03 um# initial setup alignment at 22.0 C# integration time: 60 s 
# single photon detector darkcounts: 3.4 kHz 
# single photon detector QE: 30% 
# single photon detector dead time: 20 us 
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [C]    [/]    [/]    [/] 
83.4    314933    527748    905
83.5    314301    526201    910
83.6    312839    521396    841
83.7    311926    515933    877
83.8    308225    510588    878
83.9    307247    509792    882
84.0    307178    505411    899
84.1    305188    500777    864
84.2    304334    495440    897
84.3    301942    493082    862
84.4    302351    486620    883
84.5    301337    483332    848
84.6    301750    480162    908
84.7    300376    476194    866
84.8    299361    473000    845
84.9    298684    471272    869
85.0    296608    467380    823
85.1    297593    462996    845
85.2    294724    460348    893
85.3    294523    456632    872
85.4    293328    454656    896
85.5    292592    451999    837
85.6    291717    447981    793
85.7    290059    444965    815
85.8    290440    442219    792
85.9    289018    440649    765
86.0    288072    436072    757
86.1    288376    434367    803
86.2    285237    427325    843
86.3    287370    430039    784
86.4    284737    425371    758
86.5    283575    423932    794
86.6    286545    424369    837
86.7    283119    419199    810
86.8    282439    417545    856
86.9    282359    415443    794
87.0    280247    413020    789
87.1    280375    412467    790
87.2    278870    407170    776
87.3    278405    400387    768
87.4    274397    397265    754
87.5    274652    397619    819
87.6    276614    394471    697
87.7    278098    390466    739
87.8    275602    390754    745
87.9    275404    389146    699
88.0    273207    391715    772
88.1    272688    389430    641
88.2    273846    388520    685
88.3    271839    386461    726
88.4    272867    379675    728
88.5    272743    386632    737
88.6    271605    387597    696
88.7    269895    384537    711
88.8    271336    380124    740
88.9    267127    371756    705
89.0    267151    366720    684
89.1    265967    367519    687
89.2    265486    367693    679
89.3    266149    366872    687
89.4    268143    363521    721
89.5    268378    369013    755
89.6    268206    367351    741
89.7    266657    365903    680
89.8    266122    365289    684
89.9    266820    363657    716
90.0    266387    360467    668
