# 2023-09-23 1560 SPDC measurment 
# Temperature scan betwen 22 and 80 C 
# This measurement DOES NOT inculde the coincidence stage where we seperate single photons based on polarization per channel 
# A narrowband filter is implemented in C21 (1560.61 nm) and C22 (1559.79 nm), bandwidth of 100 GHz# Each single-photon detector is connected to one channel: C21 and C22# TEST MEASUREMENT# --------------------------------- 
# input laser power: 83 mW  at 780 nm (262 mA) 
# pump polarization: H (uW) (+ V = 20 uW)# periodic pooling: 9.12 um# initial setup alignment at 22.0 C# integration time: 60 s 
# single photon detector darkcounts: 3.4 kHz 
# single photon detector QE: 30% 
# single photon detector dead time: 20 us 
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [C]    [/]    [/]    [/] 
69.4    205335    320324    20
69.5    205696    318827    20
69.6    204903    318751    20
69.7    204935    316375    22
69.8    205604    314589    23
69.9    207631    314572    16
70.0    209184    314087    19
70.1    208113    313737    32
70.2    208643    314066    16
70.3    208891    313370    21
70.4    210039    311503    39
70.5    207828    311431    23
70.6    211224    311076    23
70.7    209552    313255    15
70.8    210692    312374    26
70.9    210966    310934    17
71.0    211393    309980    29
71.1    210346    311112    23
71.2    211024    311911    28
71.3    212345    310240    20
71.4    211348    310868    22
71.5    210508    312121    29
71.6    211270    310797    10
71.7    209476    311041    18
71.8    209845    312251    19
71.9    210324    312959    21
72.0    211103    314324    28
72.1    210535    314457    28
72.2    210237    313316    20
72.3    211202    313466    20
72.4    211559    313352    19
72.5    210199    313593    28
72.6    209481    313490    24
72.7    207877    313587    25
72.8    210483    312371    26
72.9    209857    309785    12
73.0    209173    311010    27
73.1    209067    312301    27
73.2    207990    313108    22
73.3    207285    310747    21
73.4    208985    309747    20
73.5    207375    307244    24
73.6    207805    307828    15
73.7    206780    309849    20
73.8    207158    311291    25
73.9    208310    311061    33
74.0    206678    310071    23
74.1    204482    307802    24
74.2    205044    307039    15
74.3    205172    308532    28
74.4    205057    307766    32
74.5    204890    309249    15
74.6    204151    308726    21
74.7    203699    307395    24
74.8    203502    307532    19
74.9    203771    307262    20
75.0    202824    309191    27
75.1    202514    308253    18
75.2    202194    308773    20
75.3    200694    306793    21
75.4    201220    306370    24
75.5    199765    308372    20
75.6    201305    308612    20
75.7    202808    309546    27
75.8    200590    308602    21
75.9    200025    307749    24
76.0    200518    304302    18
76.1    200340    304527    28
76.2    200425    306382    24
76.3    202618    304572    22
76.4    203408    305233    20
76.5    203520    303800    20
76.6    201428    303473    23
76.7    202422    302174    30
76.8    202670    302622    20
76.9    205381    302732    21
77.0    202387    302529    19
77.1    203783    301500    28
77.2    204109    301793    26
77.3    203135    300395    21
77.4    203261    302610    26
77.5    203363    300517    26
77.6    205127    302521    28
77.7    202883    301888    26
77.8    202387    300149    21
77.9    202724    298843    13
78.0    202202    299528    18
78.1    201428    302659    25
78.2    202122    302138    30
78.3    203371    302182    17
78.4    201060    302803    24
78.5    201261    302899    20
78.6    201177    304506    26
78.7    202700    305216    25
78.8    201249    306734    23
78.9    201706    304253    18
79.0    202343    302639    22
79.1    200642    303621    32
79.2    200244    303431    17
79.3    201460    306000    23
79.4    200418    305923    16
79.5    199334    306585    16
79.6    201484    305616    18
79.7    200671    304045    20
79.8    202652    304332    21
79.9    201672    304517    19
80.0    202876    302242    22
